poem小韵号	nk2028字头	unt修改后编码	切韵拼音
1	東	EAA	toung
2	同	GAA	doung
3	中	JBA	trung
4	蟲	LBA	drung
5	終	XBA	tjung
6	忡	KBA	trhung
7	崇	UBA	dzrung
8	嵩	QBA	sung
9	戎	cBA	njung
10	弓	dBA	kung
11	融	lBA	jung
12	雄	kBA	ung
13	瞢	DBA	mung
14	穹	eBA	khung
15	窮	fBA	gung
16	馮	CBA	bung
17	風	ABA	pung
18	豐	BBA	phung
19	充	YBA	tjhung
20	隆	IBA	lung
21	空	eAA	khoung
22	公	dAA	koung
23	蒙	DAA	moung
24	籠	IAA	loung
25	洪	jAA	ghoung
26	叢	PAA	dzoung
27	翁	hAA	qoung
28	悤	OAA	tshoung
29	通	FAA	thoung
30	葼	NAA	tsoung
31	蓬	CAA	boung
32	烘	iAA	houng
33	㟅	gAA	ngoung
34	𣞷	QAA	soung
35	冬	ECA	tong
36	彤	GCA	dong
37	賨	PCA	dzong
38	農	HCA	nong
39	攻	dCA	kong
40	䃔	jCA	ghong
41	䃧	ICA	long
42	宗	NCA	tsong
43	鬆	QCA	song
44	炵	FCA	thong
45	鍾	XDA	tjuong
46	龍	IDA	luong
47	舂	aDA	sjuong
48	松	RDA	zuong
49	𧘂	YDA	tjhuong
50	容	lDA	juong
51	封	ADA	puong
52	胷	iDA	huong
53	顒	gDA	nguong
54	邕	hDA	quong
55	醲	MDA	nruong
56	重	LDA	druong
57	從	PDA	dzuong
58	蹱	KDA	trhuong
59	逢	CDA	buong
60	峯	BDA	phuong
61	縱	NDA	tsuong
62	茸	cDA	njuong
63	蛩	fDA	guong
64	鱅	ZDA	djuong
65	恭	dDA	kuong
66	蜙	QDA	suong
67	樅	ODA	tshuong
68	銎	eDA	khuong
69	江	dEA	koeung
70	厖	DEA	moeung
71	𦗳	MEA	nroeung
72	囪	TEA	tsrhoeung
73	邦	AEA	poeung
74	栙	jEA	ghoeung
75	胮	BEA	phoeung
76	瀧	IEA	loeung
77	雙	VEA	sroeung
78	龐	CEA	boeung
79	肛	iEA	hoeung
80	胦	hEA	qoeung
81	腔	eEA	khoeung
82	幢	LEA	droeung
83	憃	KEA	trhoeung
84	樁	JEA	troeung
85	㟅	gEA	ngoeung
86	淙	UEA	dzroeung
87	支	XFA	tjie
88	移	lFA	jie
89	爲	kFI	ue
90	嬀	dFM	kue
91	𪎮	iFM	hue
92	逶	hFM	que
93	糜	DFE	mye
94	隓	iFI	hwie
95	鬌	LFI	drwie
96	𡍮	ZFI	djwie
97	羸	IFI	lwie
98	吹	YFI	tjhwie
99	鈹	BFE	phye
100	陂	AFE	pye
101	隨	RFI	zwie
102	虧	eFM	khue
103	闚	eFI	khwie
104	奇	fFE	gye
105	祇	fFA	gie
106	犧	iFE	hye
107	㩻	eFE	khye
108	宜	gFE	ngye
109	皮	CFE	bye
110	提	ZFA	djie
111	兒	cFA	njie
112	離	IFA	lie
113	疵	PFA	dzie
114	貲	NFA	tsie
115	羈	dFE	kye
116	卑	AFA	pie
117	陴	CFA	bie
118	䌳	aFA	sjie
119	斯	QFA	sie
120	差	TFA	tsrhye
121	摛	KFA	trhie
122	彌	DFA	mie
123	雌	OFA	tshie
124	知	JFA	trie
125	漪	hFE	qye
126	馳	LFA	drie
127	眭	QFI	swie
128	危	gFM	ngue
129	詑	iFA	hie
130	釃	VFA	srye
131	䪎	VFI	srue
132	痿	cFI	njwie
133	厜	NFI	tswie
134	𩓸	dFI	kwie
135	劑	NFI	tswie
136	衰	TFI	tsrhue
137	腄	JFI	trwie
138	䮔	XFI	tjwie
139	眵	YFA	tjhie
140	齜	SFA	tsrye
141	𤿎	BFA	phie
142	䔺	lFI	jwie
143	齹	UFA	dzrye
144	脂	XGA	tji
145	姨	lGA	ji
146	師	VGA	sryi
147	𣬈	CGA	bi
148	咨	NGA	tsi
149	飢	dGE	kyi
150	鴟	YGA	tjhi
151	絺	KGA	trhi
152	郪	OGA	tshi
153	茨	PGA	dzi
154	尼	MGA	nri
155	墀	LGA	dri
156	私	QGA	si
157	尸	aGA	sji
158	鬐	fGA	gi
159	伊	hGA	qi
160	棃	IGA	li
161	葵	fGI	gwi
162	追	JGI	trwi
163	龜	dGM	kui
164	蕤	cGI	njwi
165	衰	VGI	srui
166	惟	lGI	jwi
167	㶟	IGI	lwi
168	綏	QGI	swi
169	逵	fGM	gui
170	眉	DGE	myi
171	悲	AGE	pyi
172	錐	XGI	tjwi
173	誰	ZGI	djwi
174	帷	kGI	ui
175	邳	CGE	byi
176	丕	BGE	phyi
177	倠	iGI	hwi
178	鎚	LGI	drwi
179	推	YGI	tjhwi
180	胝	JGA	tri
181	紕	BGA	phi
182	嶉	NGI	tswi
183	巋	eGM	khui
184	狋	gGE	ngyi
185	咦	iGA	hi
186	之	XHA	tjy
187	飴	lHA	jy
188	時	ZHA	djy
189	疑	gHA	ngy
190	思	QHA	sy
191	輜	THA	tsrhy
192	其	fHA	gy
193	詩	aHA	sjy
194	而	cHA	njy
195	欺	eHA	khy
196	姬	dHA	ky
197	詞	RHA	zy
198	釐	IHA	ly
199	菑	SHA	tsry
200	僖	iHA	hy
201	醫	hHA	qy
202	癡	KHA	trhy
203	治	LHA	dry
204	蚩	YHA	tjhy
205	慈	PHA	dzy
206	兹	NHA	tsy
207	茬	UHA	dzry
208	漦	WHA	zry
209	抾	e8D	khyop
210	䀵	aHA	sjy
211	微	DIA	muj
212	揮	iII	huj
213	幃	kII	uj
214	霏	BIA	phuj
215	猆	AIA	puj
216	肥	CIA	buj
217	威	hII	quj
218	祈	fIA	gyj
219	機	dIA	kyj
220	希	iIA	hyj
221	依	hIA	qyj
222	沂	gIA	ngyj
223	巍	gII	nguj
224	歸	dII	kuj
225	蘬	eII	khuj
226	魚	gJA	ngyo
227	初	TJA	tsrhyo
228	書	aJA	sjyo
229	居	dJA	kyo
230	渠	fJA	gyo
231	余	lJA	jyo
232	胥	QJA	syo
233	疽	OJA	tshyo
234	鉏	UJA	dzryo
235	攄	KJA	trhyo
